SA-base-x,SA-base-y,SA-base-z,SA-low-x,SA-low-y,SA-low-z,SA-middle-x,SA-middle-y,SA-middle-z,SA-up-x,SA-up-y,SA-up-z
-90.943497,156.793106,491.966156,-50.631981,363.313751,496.192657,-54.050777,571.738037,490.965973,-60.742352,779.65033,479.753204
-90.962746,156.770432,491.979004,-62.25341,362.365112,504.624969,-86.416412,568.71637,523.730713,-122.448853,772.339539,549.678833
-90.999237,156.758118,491.913574,-62.09547,362.445557,504.096436,-85.933403,568.898804,522.686401,-121.79509,772.696838,547.548767
-90.924698,156.776443,491.992584,-68.447556,360.116638,518.431641,-98.302742,559.030029,574.788696,-141.332169,746.302856,655.139893
-90.914009,156.787247,492.060974,-80.906776,357.397034,520.033752,-136.83812,546.367004,589.544739,-212.728226,709.713074,693.033997
-90.903221,156.772003,491.802917,-78.685219,359.42392,508.380951,-135.351089,555.104797,554.177368,-217.955734,731.592224,626.208801
-90.913109,156.760132,491.832214,-76.083931,357.043274,528.90387,-117.829025,542.210388,615.844299,-176.591629,698.488403,739.341125
-90.851753,156.824951,491.945587,-60.444695,361.025482,520.796692,-66.829391,560.215271,582.546143,-77.07383,748.287415,671.558472
-90.817978,156.837265,491.948059,-72.589096,359.885345,514.517029,-109.863419,558.424072,567.245728,-161.999069,743.737427,645.995422
-90.891068,156.815384,491.890533,-66.939232,362.008698,498.008789,-103.81633,567.129517,510.470642,-169.72937,762.893372,531.567444
-90.823296,156.848206,491.88504,-58.474564,362.659088,492.219849,-83.077904,569.565613,485.034149,-140.969955,768.904602,481.240906
-90.911125,156.792679,491.830383,-67.630676,360.987762,483.971893,-117.26194,561.638245,459.136078,-198.792908,752.630859,444.297058
-90.84668,156.826996,491.859131,-64.425484,361.709412,487.641357,-108.047401,564.521851,469.610809,-180.110626,760.084595,465.839813
-90.862167,156.787094,491.901611,-84.643112,358.008728,496.970825,-166.089706,549.203735,515.079041,-264.739258,724.951416,568.773499
-90.797798,156.798141,491.949341,-82.444611,358.152771,488.256042,-163.514725,550.314026,487.913544,-266.309204,728.283875,523.380615
-90.899231,156.786911,491.857544,-73.546288,358.423309,471.196716,-146.832916,546.784668,423.180328,-252.14917,724.555481,395.612061
-90.963615,156.753464,491.818176,-69.843269,360.756012,484.389954,-130.041702,558.679016,462.616577,-209.19397,751.74292,465.195648
-90.890121,156.788818,491.853516,-63.230804,362.228973,490.866791,-103.12072,566.599976,481.978851,-161.851227,766.601685,490.437439
-90.764168,156.63063,491.893799,-69.062416,360.572571,514.792969,-105.647598,560.516907,562.501953,-151.64418,751.993164,631.198486
-90.756104,156.663651,491.936432,-57.96357,362.227753,512.924561,-79.15831,564.964417,557.354858,-120.246948,758.65564,622.618286
-90.695526,156.699554,491.973511,-41.037308,362.833008,512.753784,-23.554371,566.943237,553.872131,-23.946928,765.22522,617.667603
-90.74263,156.67244,491.897278,-48.641823,363.105713,508.047943,-29.497622,568.044861,543.277954,-16.074871,766.918213,603.506714
-90.860306,156.666,491.774872,-48.378597,362.48877,514.185364,-23.420078,564.943542,559.460876,-2.49007,761.110229,625.615051
-91.068428,156.740631,491.799957,-46.801018,360.517487,527.950378,-16.860582,553.999695,600.41333,19.362421,735.578247,696.311279
-91.084686,156.743286,491.690308,-43.331432,361.648041,522.982422,-14.850904,554.982788,596.667969,15.357168,724.266663,714.340393
-90.987564,156.989777,491.688232,-19.335722,361.160889,514.249084,44.79221,552.579224,567.541016,93.465065,730.564148,663.804077
-90.968971,156.933548,491.63205,-29.88863,361.760956,515.854858,18.24955,558.093811,569.832642,57.166634,737.810303,667.380371
-90.920479,156.921326,491.636169,-36.900352,362.947876,505.366089,-9.925043,567.730469,538.486877,6.910954,763.947205,607.151001
-90.998169,156.880569,491.55246,-40.842972,363.279388,493.446899,-19.576149,570.791016,507.703186,-5.051963,772.650452,557.693726
